Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Bugginess
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/entity/PlainSchemaTest.java,10,2,0,0,0,928,614,464.0,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/entity/NotificationTest.java,7,2,0,0,0,639,614,319.5,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/entity/MembershipTest.java,5,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/entity/GroupTest.java,212,2,0,141,141,928,614,464.0,70.5,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/entity/DerSchemaTest.java,6,2,0,0,0,928,614,464.0,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/entity/DerAttrTest.java,26,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/entity/AttributableSearchTest.java,141,2,0,3,3,928,614,464.0,1.5,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/validation/entity/UserValidator.java,42,2,0,14,14,928,614,464.0,7.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/validation/entity/SchemaNameValidator.java,22,2,0,2,2,639,614,319.5,1.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/validation/entity/PlainAttrValueValidator.java,3,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/validation/entity/GroupValidator.java,44,1,0,44,44,614,614,614.0,44.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/validation/entity/GroupCheck.java,41,1,0,41,41,614,614,614.0,41.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/validation/entity/ExternalResourceValidator.java,11,2,0,3,3,639,614,319.5,1.5,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/user/JPAUser.java,72,3,0,28,25,953,614,317.66666,9.333333,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/task/JPASyncTask.java,24,2,0,17,17,928,614,464.0,8.5,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/task/JPAPushTask.java,5,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/membership/JPAMembership.java,29,3,0,3,2,953,614,317.66666,1.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/membership/JPAMVirAttrTemplate.java,7,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/membership/JPAMVirAttr.java,1,1,0,0,0,614,614,614.0,0.0,false
